--- Transient rewards (transition) ---
t Pool Ph1 Ph2 Ph3 Ph4 If(Pool==0,1,0) Ph1+Ph2+Ph3+Ph4 
0,0 6,00000 0,00000 0,00000 1,00000 1,00000 0,00000 2,00000 
0,1 6,06239 0,00835 0,00905 1,00975 1,01045 0,00000 2,03761 
0,2 6,12479 0,01670 0,01810 1,01950 1,02090 0,00000 2,07521 
0,3 6,18717 0,02505 0,02715 1,02925 1,03135 0,00000 2,11281 
0,4 6,24953 0,03340 0,03620 1,03900 1,04180 0,00000 2,15040 
0,5 6,31185 0,04174 0,04524 1,04874 1,05224 0,00000 2,18796 
0,6 6,37409 0,05007 0,05427 1,05847 1,06266 0,00000 2,22547 
0,7 6,43620 0,05839 0,06328 1,06817 1,07307 0,00000 2,26291 
0,8 6,49814 0,06668 0,07227 1,07785 1,08344 0,00000 2,30024 
0,9 6,55984 0,07494 0,08122 1,08750 1,09378 0,00000 2,33743 
1,0 6,62122 0,08315 0,09012 1,09709 1,10406 0,00000 2,37443 
1,1 6,68223 0,09132 0,09897 1,10663 1,11428 0,00000 2,41119 
1,2 6,74277 0,09942 0,10776 1,11609 1,12442 0,00000 2,44769 
1,3 6,80277 0,10745 0,11646 1,12547 1,13447 0,00000 2,48385 
1,4 6,86215 0,11540 0,12507 1,13475 1,14442 0,00000 2,51964 
1,5 6,92083 0,12326 0,13359 1,14392 1,15425 0,00000 2,55501 
1,6 6,97872 0,13100 0,14199 1,15297 1,16395 0,00000 2,58990 
1,7 7,03576 0,13864 0,15026 1,16188 1,17350 0,00000 2,62428 
1,8 7,09186 0,14615 0,15840 1,17065 1,18290 0,00000 2,65809 
1,9 7,14696 0,15352 0,16639 1,17926 1,19213 0,00000 2,69130 
2,0 7,20099 0,16076 0,17423 1,18770 1,20118 0,00000 2,72387 
2,1 7,25390 0,16784 0,18190 1,19597 1,21004 0,00000 2,75575 
2,2 7,30563 0,17476 0,18941 1,20406 1,21870 0,00000 2,78693 
2,3 7,35613 0,18152 0,19674 1,21195 1,22716 0,00000 2,81737 
2,4 7,40536 0,18811 0,20388 1,21964 1,23541 0,00000 2,84704 
2,5 7,45329 0,19453 0,21083 1,22714 1,24344 0,00000 2,87593 
2,6 7,49989 0,20076 0,21759 1,23442 1,25125 0,00000 2,90402 
2,7 7,54513 0,20682 0,22415 1,24149 1,25882 0,00000 2,93129 
2,8 7,58899 0,21269 0,23052 1,24834 1,26617 0,00000 2,95772 
2,9 7,63147 0,21838 0,23668 1,25498 1,27329 0,00000 2,98333 
3,0 7,67255 0,22388 0,24264 1,26140 1,28017 0,00000 3,00809 
3,1 7,71224 0,22919 0,24840 1,26761 1,28682 0,00000 3,03201 
3,2 7,75052 0,23431 0,25395 1,27359 1,29323 0,00000 3,05508 
3,3 7,78743 0,23925 0,25930 1,27936 1,29941 0,00000 3,07733 
3,4 7,82295 0,24401 0,26446 1,28491 1,30536 0,00000 3,09874 
3,5 7,85711 0,24858 0,26941 1,29025 1,31108 0,00000 3,11932 
3,6 7,88992 0,25297 0,27417 1,29538 1,31658 0,00000 3,13910 
3,7 7,92141 0,25719 0,27874 1,30030 1,32185 0,00000 3,15808 
3,8 7,95159 0,26123 0,28312 1,30502 1,32691 0,00000 3,17627 
3,9 7,98050 0,26510 0,28731 1,30953 1,33175 0,00000 3,19370 
4,0 8,00816 0,26880 0,29133 1,31386 1,33639 0,00000 3,21037 
4,1 8,03460 0,27234 0,29516 1,31799 1,34082 0,00000 3,22630 
4,2 8,05986 0,27572 0,29883 1,32194 1,34505 0,00000 3,24153 
4,3 8,08396 0,27894 0,30232 1,32570 1,34908 0,00000 3,25605 
4,4 8,10693 0,28202 0,30566 1,32929 1,35293 0,00000 3,26990 
4,5 8,12882 0,28495 0,30883 1,33271 1,35660 0,00000 3,28309 
4,6 8,14966 0,28774 0,31185 1,33597 1,36009 0,00000 3,29565 
4,7 8,16948 0,29039 0,31473 1,33907 1,36341 0,00000 3,30760 
4,8 8,18832 0,29291 0,31746 1,34201 1,36656 0,00000 3,31895 
4,9 8,20621 0,29531 0,32006 1,34481 1,36956 0,00000 3,32973 
5,0 8,22318 0,29758 0,32252 1,34746 1,37240 0,00000 3,33997 
5,1 8,23929 0,29973 0,32486 1,34998 1,37510 0,00000 3,34967 
